"";"verbatimIdentification";"scientificName";"ScientificName2010";"ScientificName2018";"BirdTree";"tip.label"
"55";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus_migratorius"
"56";"Mimus polyglottos";"Mimus polyglottos";"Mimus polyglottos";"Mimus polyglottos";"Mimus polyglottos";"Mimus_polyglottos"
"57";"Empidonax alnorum";"Empidonax alnorum";"Empidonax alnorum";"Empidonax alnorum";"Empidonax alnorum";"Empidonax_alnorum"
"58";"Pheucticus ludovicianus";"Pheucticus ludovicianus";"Pheucticus ludovicianus";"Pheucticus ludovicianus";"Pheucticus ludovicianus";"Pheucticus_ludovicianus"
"59";"Seiurus aurocapilla";"Seiurus aurocapilla";"Seiurus aurocapilla";"Seiurus aurocapilla";"Seiurus aurocapilla";"Seiurus_aurocapilla"
"60";"Pipilo erythrophthalmus";"Pipilo erythrophthalmus";"Pipilo erythrophthalmus";"Pipilo erythrophthalmus";"Pipilo erythrophthalmus";"Pipilo_erythrophthalmus"
"61";"Melospiza georgiana";"Melospiza georgiana";"Melospiza georgiana";"Melospiza georgiana";"Melospiza georgiana";"Melospiza_georgiana"
"62";"Vireo olivaceus";"Vireo olivaceus";"Vireo olivaceus";"Vireo olivaceus";"Vireo olivaceus";"Vireo_olivaceus"
"63";"Empidonax minimus";"Empidonax minimus";"Empidonax minimus";"Empidonax minimus";"Empidonax minimus";"Empidonax_minimus"
"64";"Tachycineta bicolor";"Tachycineta bicolor";"Tachycineta bicolor";"Tachycineta bicolor";"Tachycineta bicolor";"Tachycineta_bicolor"
"65";"Dryocopus pileatus";"Hylatomus pileatus";"Dryocopus pileatus";"Hylatomus pileatus";"Dryocopus pileatus";"Dryocopus_pileatus"
"66";"Vermivora pinus";"Vermivora cyanoptera";"Vermivora pinus";"Vermivora cyanoptera";"Vermivora pinus";"Vermivora_pinus"
"67";"Quiscalus quiscula";"Quiscalus quiscula";"Quiscalus quiscula";"Quiscalus quiscula";"Quiscalus quiscula";"Quiscalus_quiscula"
"68";"Dendroica petechia";"Setophaga petechia";"Dendroica petechia";"Setophaga petechia";"Dendroica aestiva";"Dendroica_aestiva"
